Internal ID,Name,Display Name,Description,Product Group,Product Type,Class,Sub Category,Sub Category,Collection,Brand Name,Collection Name
121930,GH250196,Thos Teak Coffee Table - natural,Thos Teak Coffee Table - natural,Accents,Coffee Tables,Close-Out,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
121805,GH250198,Thos Teak Side Table - natural,Thos Teak Side Table - natural,Accents,Side Tables,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
121931,GH250201,Thos Teak Coffee Table - weathered,Thos Teak Coffee Table - weathered,Accents,Coffee Tables,Close-Out,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118120,GH250207,Bainbridge Adirondack footstool - weathered,Bainbridge Adirondack footstool - weathered,Seating,Ottomans,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118121,GH250208,Bainbridge Adirondack Chair - weathered,Bainbridge Adirondack Chair - weathered,Seating,Club Chairs,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118122,GH250209,Bainbridge Adirondack footstool - natural,Bainbridge Adirondack footstool - natural,Seating,Ottomans,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
111837,GH250227,Palms Bar Stools - pair,Palms Bar Stools - pair,Dining,Bar Stools,Active,Outdoor Furniture,Outdoor Furniture,Palms,Thos Baker,Palms
121806,GH250228,Palms Waveloungers - pair - frame,Palms Waveloungers - pair - frame,Seating,Chaise Lounges,Active,Outdoor Furniture,Outdoor Furniture,Palms,Thos Baker,Palms
111840,GH250232,Palms Cushion Box,Palms Cushion Box,Accents,Cushion Storage,Active,Outdoor Furniture,Outdoor Furniture,Palms,Thos Baker,Palms
111831,GH250235,Palms Side Table,Palms Side Table,Accents,Side Tables,Active,Outdoor Furniture,Outdoor Furniture,Palms,Thos Baker,Palms
118116,GH250259,Veranda Bar Table,Veranda Bar Table,Dining,Bar Tables,Active,Outdoor Furniture,Outdoor Furniture,Veranda,Thos Baker,Veranda
118128,GH250262,Veranda Square Coffee Table,Veranda Square Coffee Table,Accents,Coffee Tables,Active,Outdoor Furniture,Outdoor Furniture,Veranda,Thos Baker,Veranda
118127,GH250263,Veranda Rectangular Coffee Table,Veranda Rectangular Coffee Table,Accents,Coffee Tables,Active,Outdoor Furniture,Outdoor Furniture,Veranda,Thos Baker,Veranda
118129,GH250264,Veranda Rectangular Dining Table,Veranda Rectangular Dining Table,Dining,Dining Tables,Active,Outdoor Furniture,Outdoor Furniture,Veranda,Thos Baker,Veranda
118103,GH250265,Veranda Ottoman - frame,Veranda Ottoman - frame,Seating,Ottomans,Active,Outdoor Furniture,Outdoor Furniture,Veranda,Thos Baker,Veranda
118111,GH250268,Veranda Side Table,Veranda Side Table,Accents,Side Tables,Active,Outdoor Furniture,Outdoor Furniture,Veranda,Thos Baker,Veranda
111807,GH251182,Veranda Ottoman cushion - Canvas White,Veranda Ottoman cushion - Canvas White,Custom Cushions,Custom Cushions,Active,Textiles,Textiles,Veranda,,Veranda
118130,GH251220,Veranda Round Dining Table,Veranda Round Dining Table,Dining,Dining Tables,Active,Outdoor Furniture,Outdoor Furniture,Veranda,Thos Baker,Veranda
118012,GH251222,Teak Serving Table,Teak Serving Table,Accents,Console Tables,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118126,GH251223,Bainbridge Classic Steamer Chair - frame,Bainbridge Classic Steamer Chair - frame,Seating,Chaise Lounges,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118123,GH251224,Bainbridge Adirondack Chair - Natural,Bainbridge Adirondack Chair - Natural,Seating,Club Chairs,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118124,GH251225,Thos Teak Side Table - natural-b,Thos Teak Side Table - natural,Accents,Side Tables,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118125,GH251226,Thos Teak Side Table - weathered,Thos Teak Side Table - weathered,Accents,Side Tables,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
111838,GH251290,Palms Wavelounger - frame,Palms Wavelounger - frame,Seating,Chaise Lounges,Active,Outdoor Furniture,Outdoor Furniture,Palms,Thos Baker,Palms
111839,GH251291,Palms Coffee Table,Palms Coffee Table,Accents,Coffee Tables,Active,Outdoor Furniture,Outdoor Furniture,Palms,Thos Baker,Palms
118011,GH251764,Thos Baker Teak Rectangular Dining Table - weathered,Thos Baker Teak Rectangular Dining Table - weathered,Dining,Dining Tables,Close-Out,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
121804,GH252571,Bainbridge Classic Steamer Chair with White Cushion,Bainbridge Classic Steamer Chair with White Cushion,Seating,Chaises,Active,Outdoor Furniture,Outdoor Furniture,Bainbridge,Thos Baker,Bainbridge
118060,GH253286,"Gracious Sleep Heritage Plush 12"" Mattress - TWIN","Gracious Sleep Heritage Plush 12"" Mattress - TWIN",Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118454,GH253287,Gracious Sleep Heritage - Box Spring - TWIN,Gracious Sleep Heritage - Box Spring - TWIN,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118455,GH253288,"Gracious Sleep Heritage Plush 12"" Mattress TWIN XL","Gracious Sleep Heritage Plush 12"" Mattress TWIN XL",Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118456,GH253289,Gracious Sleep Heritage Box Spring - TWIN XL,Gracious Sleep Heritage Box Spring - TWIN XL,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118457,GH253290,"Gracious Home Heritage Plush 12"" Mattress - FULL","Gracious Home Heritage Plush 12"" Mattress - FULL",Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118459,GH253291,Gracious Sleep Heritage Box Spring - FULL,Gracious Sleep Heritage Box Spring - FULL,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118458,GH253292,"Gracious Sleep Heritage Plush 12"" Mattress - QUEEN","Gracious Sleep Heritage Plush 12"" Mattress - QUEEN",Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118460,GH253293,Gracious Sleep Heritage Box Spring - QUEEN,Gracious Sleep Heritage Box Spring - QUEEN,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118461,GH253294,"Gracious Sleep Heritage 12"" Plush Mattress - KING","Gracious Sleep Heritage 12"" Plush Mattress - KING",Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
118462,GH253295,Gracious Sleep Heritage Box Spring - KING,Gracious Sleep Heritage Box Spring - KING,Mattresses,,Active,Gracious Sleep,Gracious Sleep,,Thos Baker,
